QueryID,DocID,Score
Q0,CACM-2054,"on the feasibility of voice input to **an** on-line computer processing **system** **an** on-line digital computer processing **system** is considered in **which** **an** ordinary telephone is the complete terminal device, input to the computer being provided as a sequence of spoken words, and output to the user being audio responses from the machine."
Q0,CACM-2358,"the multics virtual memory: concepts and design as experience **with** use of on-line **operating** systems has grown, the need to share information among **system** users has become increasingly apparent."
Q0,CACM-1657,implementation of the sharer2 time-sharing **system** a simple mechanism is described **for** the execution of part of a program **with** its own memory protection.
Q0,CACM-2317,"programming systems and languages 1965-1975 in spite of impressive gains by pl/i, fortran and cobol remain the languages in **which** most of the world's production programs are written and will remain so into the foreseeable future."
Q0,CACM-1844,a modular computer **sharing** **system** **an** alternative approach to the design and organization of a general purpose interactive multiterminal computing **system** is presented.
Q0,CACM-0414,"**ibm** 1440 data processing **system** features five new units the **ibm** 1440 data processing system, announced recently by the international business machines corporation, not only features the 1311 disk storage drive **with** interchangeable disk packs but four other newly developed units."
Q0,CACM-1827,performance monitoring in a time-sharing **system** a software measurement facility **which** is part of a general purpose time-sharing **system** is described.
Q0,CACM-1226,the organization of structured files a data file is **an** integral part of a data processing system.
Q0,CACM-2424,"the dynamic verification of **operating** **system** decisions is used on the prime **system** being designed and constructed at the university of california, berkeley."
Q0,CACM-1225,"in addition, a new technique is described **for** repetitive path elimination **for** a predictive analyzer, **which** can now claim efficiency both in processing **time** and core storage requirement."
Q0,CACM-2948,"the **system** consists of a communications computer directly connected to the time-shared system, a number of small remote **computers** to **which** the terminals are attached, and connecting medium speed telephone lines."
Q0,CACM-0637,"a neliac-generated 7090-1401 compiler neliac systems **for** several different machines have been generated using the original neliac **system** developed at the naval electronics laboratory, san diego, in 1958. a basic ""bootstrap"" process was used to generate all but the first, i.e."
Q0,CACM-0252,programming a duplex computer **system** this paper describes a method of duplex-computer programming that has been used **with** two **computers** in a military defense system.
Q0,CACM-2535,"the effects of multiplexing on a computer-communications **system** a study is made of the way in **which** asynchronous **time** division multiplexing changes the stochastic nature of the arrival process from a user to the computer and, consequently, affects the performance of a time-shared computer-communications system."
Q0,CACM-0698,data-dial: two-way communication **with** **computers** from ordinary dial telephones **an** **operating** **system** is described **which** allows users to call up a remotely located computer from ordinary dial telephones.
Q0,CACM-1885,a computer **system** **for** transformational grammar a comprehensive **system** **for** transformational grammar has been designed and implemented on the **ibm** 360/67 computer.
Q0,CACM-1179,"pufft-the purdue university fast fortran translator a core resident, compile-and-go **system** designed **for** the **ibm** 7090/7094 computer is described."
Q0,CACM-1315,"the procedure **which** was satisfactory but time-consuming was converted from manual to a fully automated computer **system** in january, 1963. the program **for** purchased radioisotopes is written in format fortran **for** the **ibm** 1620 computer."
Q0,CACM-0971,"**time** **sharing** in a traffic control program the toronto traffic signal control **system** consists of a variety of logically distinct computer programs, all competing **for** machine time."
Q0,CACM-2764,"**an** intelligent analyzer and understander of english the paper describes a working analysis and generation program **for** natural language, **which** handles paragraph length input."
Q0,CACM-1304,"a rapid turnaround multi-programming **system** in this paper, basic features, **system** characteristics and the control algorithm **for** a multi-programming **system** **with** rapid turnaround **time** are described."
Q0,CACM-1753,"virtual memory, processes, and **sharing** in multics some basic concepts involved in the design of the multics **operating** **system** are introduced."
Q0,CACM-2080,"the **system** nucleus simulates **an** environment in **which** program execution and input/output are handled uniformly as parallel, cooperating process es."
Q0,CACM-2597,monitors: **an** **operating** **system** structuring concept this paper develops brinch-hansen's concept of a monitor as a method of structuring **an** **operating** system.
Q0,CACM-1685,a defining description of a programming language designed **for** generating activity network from a set of standard networks is presented.
Q0,CACM-1173,the performance of a **system** **for** automatic segmentation of programs within **an** algol compiler (gier algol) the gier algol compiler makes use of **an** automatic **system** **for** handling the transfers of program segments from the drum store to the core store at program execution time.
Q0,CACM-2542,a software design and evaluation **system** a critical failure of current software **system** design and implementation methodology is that the performance of a proposed design is not evaluated before it is actually implemented.
Q0,CACM-2378,**an** **operating** **system** based on the concept of a supervisory computer **an** **operating** **system** **which** is organized as a small supervisor and a set of independent processes are described.
Q0,CACM-3068,"a model **for** verification of data security in **operating** systems program verification applied to kernel architectures forms a promising method **for** providing uncircumventably secure, shared computer systems."
Q0,CACM-1236,the smart automatic document retrieval system-an illustration a fully automatic document retrieval **system** **operating** on the **ibm** 7094 is described.
Q0,CACM-2681,dynamic memory repacking a probabilistic model of a multiprogramming **system** is exercised in order to determine the conditions under **which** the dynamic repacking of main memory is beneficial.
Q0,CACM-1195,uplifts-university of pittsburgh linear file tandem **system** a series of computer programs has been developed and is now operational **for** processing the national aeronautics and space administration linear file **system** on **an** **ibm** 1401-7090 combined data processing system.
Q0,CACM-1542,a microprogrammed implementation of euler on **ibm** system/360 model 30 **an** experimental processing **system** **for** the algorithmic language euler has been implemented in microprogramming on **an** **ibm** system/360 model 30 using a second read-only storage unit.
Q0,CACM-2624,"formal requirements **for** virtualizable third generation architectures virtual machine systems have been implemented on a limited number of third generation computer systems, e.g."
Q0,CACM-2796,"monitors: **an** **operating** **system** structuring concept (corrigendum) cacm february, 1975 hoare, c. a. r. ca750203 jb january 12, 1978 8:45 am 2796 5 2796 2796 5 2796 2796 5 2796 2866 5 2796 2356 6 2796 2597 6 2796 2796 6 2796"
Q0,CACM-1046,"a compiler-building **system** developed by brooker and morris in a number of **articles** published during the past two years, r. a. brooker and d. morris (joined by j. rohl in their most recent paper have presented a very interesting programming **system** that they have developed **for** the ferranti atlas computer."
Q0,CACM-1462,multilevel **operating** systems the basic software **for** all newer **computers** is built on the well-established need **for** standard **operating** systems.
Q0,CACM-2398,teacher/student authored cai using the newbasic **system** the pedagogical advantages of a general purpose interactive **system** called newbasic/catalyst are discussed.
Q0,CACM-2188,"each subsystem is chosen from large numbers of alternatives; the selection is based on considerations such as **system** response time, **system** cost, and the distribution of data storage and processing between the graphics processor and its supporting data processing system."
Q0,CACM-2560,a queuing model of a multiprogrammed computer **with** a two-level storage **system** the results are presented of **an** analysis of a probabilistic model of a multiprogrammed computer **system** **with** a two-level storage **system** in **which** there is sequential dependency of accesses between the devices.
Q0,CACM-1960,process management and resource **sharing** in the multiaccess **system** esope the main design principles of the multiaccess **system** esope are described.
Q0,CACM-2868,"reflections on **an** **operating** **system** design the main features of a general purpose multiaccess **operating** **system** developed **for** the cdc 6400 at berkeley are presented, and its good and bad points are discussed as they appear in retrospect."
Q0,CACM-1697,graphical input/output of nonstandard characters a **system** developed at harvard **for** graphically inputting and outputting nonstandard characters on a computer is printed.
Q0,CACM-2946,"**an** alternative to event queues **for** synchronization in monitors in the monitor concept, as proposed by brinch hansen and hoare, event are used **for** synchronization."
Q0,CACM-2920,"game interpretation of the deadlock avoidance problem the deadlock avoidance problem may be defined informally as the determination, from some a priori information about the processes, resources, **operating** system, etc., of the ""safe situations"" **which** may be realized without endangering the smooth running of the system."
Q0,CACM-2917,"sitar: **an** interactive text processing **system** **for** small **computers** (corrigendum) cacm october, 1977 schneider, b. r. jr. watts, r. m. ca771009 jb december 28, 1977 5:58 am 2917 5 2917 2917 5 2917 2917 5 2917"
Q0,CACM-2219,"the algorithm has been implemented in a general purpose **operating** system, and it has provided significantly better service to interactive and to batch jobs than the previous scheduler."
Q0,CACM-1472,"description of a high capacity, fast turnaround university computing center the **operating** **system** **for** the univac 1107 at case institute is reviewed."
Q0,CACM-1805,"productivity of multiprogrammed computers-progress in developing **an** analytic prediction method multiprogramming as it is discussed here is a mode of computer operation in **which** two or more programs are concurrently in processor memory and proceeding, each using the same central processor unit (cpu) and input-output (i/o) channels."
Q0,CACM-3137,a methodology **for** the design of distributed information systems a macro model of a distributed information **system** in presented.
Q0,CACM-2878,"such a **system** is formulated here as a semi-markov decision process, in **which** the aim of arriving users is to minimize their expected loss."
Q0,CACM-1163,"philco/ibm translation at problem-oriented, symbolic and binary levels a translation **system** has been developed to eliminate most of the effort formerly required to reprogram philco 2000 series codes **for** **ibm** 7094 operation."
Q0,CACM-1626,"described in this paper are a number of techniques that have been used to build a lisp **system** utilizing a drum **for** its principal storage medium, **with** a surprisingly low **time** penalty **for** use of this slow storage device."
Q0,CACM-2950,a unifying approach to scheduling this paper presents a scheme **for** classifying scheduling algorithms based on **an** abstract model of a scheduling **system** **which** formalizes the notion of priority.
Q0,CACM-2622,a user authentication scheme not requiring secrecy in the computer in many computer **operating** systems a user authenticates himself by entering a secret password known solely to himself and the system.
Q0,CACM-2951,this research is a first step toward assisting the user in participating in the vast store of resources available on a network.
Q0,CACM-0098,"the arithmetic translator-compiler of the **ibm** fortran automatic coding **system** cacm february, 1959 sheridan, p. b. ca590203 jb march 22, 1978 8:21 pm 224 5 98 364 5 98 98 5 98 98 5 98 98 5 98 100 6 98 224 6 98 44 6 98 77 6 98 98 6 98 98 6 98"
Q0,CACM-0202,the paper also describes a number of other novel diagnostic features **which** can be included in the system.
Q0,CACM-1747,three criteria **for** designing computing systems to facilitate debugging the designer of a computing **system** should adopt explicit criteria **for** accepting or rejecting proposed **system** features.
Q0,CACM-2372,on the implementation of security measures in information systems the security of **an** information **system** may be represented by a model matrix whose elements are decision rules and whose row and column indices are users and data items respectively.
Q0,CACM-2003,"**an** interactive software **system** **for** computers-aided design: **an** application to circuit project the characteristics of **an** interactive software system, intended to constitute **an** interface between designer and computer during various steps of the design process, are presented."
Q0,CACM-2218,"summary data is presented, and the findings are discussed."
Q0,CACM-1534,"dad, the c. **operating** **system** the design and implementation of the c. **operating** system, dad, is described in detail."
Q0,CACM-2840,protection in **operating** systems a model of protection mechanisms in computing systems is presented and its appropriateness is argued.
Q0,CACM-1571,a user-oriented time-shared online **system** **an** existing **system** and planned additions within the data processing laboratory of the brain research institute at ucla is described.
Q0,CACM-0972,**an** executive **system** implemented as a finite-state automaton the 473l command and control **system** used by the air force permits many operators to access large data files through the use of a computer.
Q0,CACM-3089,performance of rollback recovery systems under intermittent failures a mathematical model of a transaction-oriented **system** under intermittent failures is proposed.
Q0,CACM-2153,experiments **with** **an** automated instructional **system** **for** numerical methods a computer **system** was developed at purdue university to teach portions of **an** undergraduate course in numerical methods.
Q1,CACM-1931,an application using i. determinants **in** a program to test a set of functions to see if they form a chebyshev system is then presented.
Q1,CACM-1012,formal parsing systems automatic syntactic analysis has recently become important for both natural language data processing and syntax-directed compilers.
Q1,CACM-3028,the manchester mark **i** and atlas: a his torical perspective **in** 30 years of computer design at manchester university two systems stand out: the mark **i** (developed over the period 1946-49) and the atlas (1955-62).
Q1,CACM-0497,"further remarks on line segment curve-fitting using dynamic programming **in** a recent paper, bellman showed how dynamic programming could be used to determine the solution to a problem previously considered **by** stone."
Q1,CACM-1821,"permanent function of a square matrix **i** and ii (algorithm 361 [g6]) cacm november, 1969 shriver, b. eberlein, p. j. dixon, r. d. matrix, permanent, determinant 5.30 ca691109 jb february 15, 197812:18 pm 1821 5 1821 1821 5 1821 1821 5 1821"
Q1,CACM-2039,"permanent function of a square matrix **i** and ii (algorithm 361 $g6)) cacm june, 1970 shriver, b. eberlein, p. j. dixon, r. d. matrix, permanent, determinant 5.30 ca700616 jb february 13, 1978 10:01 **am** 2039 5 2039 2039 5 2039 2039 5 2039"
Q1,CACM-0204,"proving theorems **by** pattern recognition **i** cacm april, 1960 wang, h. ca600407 jb march 22, 1978 1:47 pm 204 4 204 204 5 204 204 5 204 204 5 204 3194 5 204"
Q1,CACM-2845,a buddy system variation for disk storage allocation a generalization of the buddy system for storage allocation is described.
Q1,CACM-0526,"character manipulation **in** fortran cacm august, 1962 pyle, i. c. ca620802 jb march 17, 1978 7:33 pm 526 5 526 526 5 526 526 5 526"
Q1,CACM-0002,"extraction of roots **by** repeated subtractions for digital computers cacm december, 1958 sugai, i. ca581202 jb march 22, 1978 8:29 pm 2 5 2 2 5 2 2 5 2"
Q1,CACM-0760,"dialects of fortran cacm august, 1963 pyle, i. c. ca630838 jb march 13, 1978 8:03 pm 760 5 760 760 5 760 760 5 760"
Q1,CACM-0749,"note onstochastic matrices cacm september, 1963 dumey, a. i. ca630909 jb march 13, 1978 7:35 pm 749 5 749 749 5 749 749 5 749"
Q1,CACM-0648,"sorting procedures (algorithm 76) cacm january, 1962 flores, i. ca620111 jb march 20, 1978 4:33 pm 648 5 648 648 5 648 648 5 648"
Q1,CACM-0171,"digital computers **in** universities (part i) cacm july, 1960 reeves, r. f. ca600702 jb march 20, 1978 9:20 pm 171 5 171 171 5 171 171 5 171"
Q1,CACM-1343,"havie integrator (algorithm 257 [d1]) cacm december, 1966 farkas, i. ca661207b jb march 23, 1978 4:16 pm 1343 5 1343 1343 5 1343 1343 5 1343"
Q1,CACM-1519,george 3-a general purpose time sharing and operating system an operating system is described which will run on a wide variety of configurations of the i.
Q1,CACM-0210,"recursive functions of symbolic expressions and their computation **by** machine, part **i** cacm april, 1960 mccarthy, j. ca600401 jb march 22, 1978 1:57 pm 205 4 210 210 4 210 214 4 210 1982 4 210 398 4 210 642 4 210 669 4 210 100 4 210 123 4 210 164 4 210 106 5 210 1 5 210 1024 5 210 1051 5 210 1102 5 210 1132 5 210 210 5 210 210 5 210 210 5 210 1390 5 210 1486 5 210 1549 5 210 1706 5 210 1826 5 210 1878 5 210 378 5 210 2060 5 210 2155 5 210 2168 5 210 2719 5 210 2723 5 210 2838 5 210 2842 5 210 2855 5 210 2879 5 210 3077 5 210 3080 5 210 3106 5 210 627 5 210 106 6 210 106 6 210 196 6 210 196 6 210 1051 6 210 1180 6 210 1303 6 210 1380 6 210 1389 6 210 1421 6 210 1469 6 210 1477 6 210 1491 6 210 1549 6 210 1549 6 210 1549 6 210 1626 6 210 1626 6 210 1626 6 210 1749 6 210 208 6 210 209 6 210 209 6 210 1826 6 210 1826 6 210 1826 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 210 6 210 1834 6 210 1869 6 210 1878 6 210 1972 6 210 1972 6 210 378 6 210 378 6 210 2046 6 210 2060 6 210 2060 6 210 2060 6 210 2110 6 210 2148 6 210 2151 6 210 2167 6 210 2192 6 210 2210 6 210 2457 6 210 2513 6 210 2645 6 210 2651 6 210 2657 6 210 2665 6 210 2723 6 210 2766 6 210 2766 6 210 2833 6 210 2850 6 210 2855 6 210 2954 6 210 2998 6 210 2998 6 210 406 6 210 406 6 210 406 6 210 483 6 210 3184 6 210 3184 6 210 627 6 210 627 6 210 731 6 210 731 6 210 731 6 210 731 6 210 731 6 210 731 6 210 753 6 210 793 6 210 794 6 210"
Q1,CACM-1057,"critical path scheduling (algorithm 40) cacm june, 1964 hoffman, i. a. ca640610 jb march 9, 1978 9:32 pm 1057 5 1057 1057 5 1057 1057 5 1057"
Q1,CACM-1727,"cacm july, 1968 kral, j. object program reduction, supervisor calls decreasing, jump frequencies estimation, control transfers estimation, optimal program segmentation, markov chain program correspondence, program graph, one-entry subgraph, locally estimated jump frequencies, supervisor overhead decreasing, program segmentation algorithm, jump frequencies, program segmentation problem 4.11 4.19 4.39 4.49 ca680702 jb february 22, 1978 3:05 pm 1727 5 1727 1727 5 1727 1727 5 1727"
Q1,CACM-0043,"a technique for handling macro instructions cacm november, 1959 greenwald, i. d. ca591105 jb march 22, 1978 3:51 pm 205 5 43 43 5 43 43 5 43 43 5 43 1 6 43 43 6 43"
Q1,CACM-0225,"a techniquefor handling macro instructions (corrigendum) cacm february, 1960 greenwald, i. d. ca600207 jb march 22, 1978 2:18 pm 225 5 225 225 5 225 225 5 225"
Q1,CACM-0018,"simple automatic coding systems cacm july, 1958 adams, e. s. schlesinger, s. i. ca580701 jb march 22, 1978 9:06 pm 18 5 18 18 5 18 18 5 18"
Q1,CACM-0967,"complementary error function (algorithm 181 [s15]) cacm december, 1964 clausen, i. hansson,l."
Q1,CACM-0584,"report on the algorithmic language fortran ii cacm june, 1962 rabinowitz, i. n. ca620601 jb march 17, 1978 9:38 pm 1046 4 584 1105 4 584 1139 4 584 1140 4 584 1234 4 584 1263 4 584 1265 4 584 1496 4 584 1781 4 584 1824 4 584 2126 4 584 2546 4 584 464 4 584 584 4 584 631 4 584 653 4 584 680 4 584 763 4 584 795 4 584 799 4 584 945 4 584 949 5 584 1781 5 584 1945 5 584 404 5 584 584 5 584 584 5 584 584 5 584 823 6 584 123 6 584 196 6 584 914 6 584 915 6 584 917 6 584 919 6 584 984 6 584 989 6 584 990 6 584 990 6 584 1007 6 584 1012 6 584 1046 6 584 1084 6 584 1098 6 584 1122 6 584 1131 6 584 1138 6 584 1139 6 584 1139 6 584 1140 6 584 1141 6 584 1149 6 584 1198 6 584 1200 6 584 1215 6 584 1223 6 584 1223 6 584 1265 6 584 1265 6 584 1303 6 584 1323 6 584 1336 6 584 1358 6 584 1366 6 584 1396 6 584 1421 6 584 1455 6 584 1460 6 584 1462 6 584 1463 6 584 1467 6 584 1468 6 584 1477 6 584 1477 6 584 1487 6 584 1491 6 584 1491 6 584 1496 6 584 1496 6 584 1531 6 584 1535 6 584 1565 6 584 1601 6 584 1602 6 584 1613 6 584 1614 6 584 1626 6 584 1641 6 584 1787 6 584 1788 6 584 205 6 584 224 6 584 249 6 584 288 6 584 316 6 584 381 6 584 398 6 584 11 6 584 404 6 584 410 6 584 463 6 584 464 6 584 483 6 584 483 6 584 483 6 584 3184 6 584 3184 6 584 3188 6 584 584 6 584 584 6 584 584 6 584 600 6 584 669 6 584 680 6 584 680 6 584 691 6 584 763 6 584 763 6 584 799 6 584"
Q1,CACM-0201,"bessel funtion i, series expansion (algorithm 5) cacm april, 1960 clarke, d. s. ca600410 jb march 22, 1978 1:40 pm 201 5 201 201 5 201 201 5 201"
Q1,CACM-0200,"bessel function i, asymptotic expansion (algorithm 6) cacm april, 1960 clarke, d. s. ca600411 jb march 22, 1978 1:39 pm 200 5 200 200 5 200 200 5 200"
Q1,CACM-1582,"gauss (algorithm 209 [s15]) cacm june, 1967 hill, i. d. joyce, s. a. ca670607j jb march 23, 1978 3:38 pm 1582 5 1582 1582 5 1582 1582 5 1582"
Q1,CACM-0880,"newton interpolation with backward divided differences cacm april, 1963 kahan, w. farkas, i. ca630411 jb march 14, 1978 12:20 pm 880 5 880 880 5 880 880 5 880"
Q1,CACM-1606,"chi-squared integral (algorithm 299 [s15]) cacm april, 1967 hill, i. d. pike, m. c. ca670408a jb february 28, 1978 11:10 **am** 1606 5 1606 1606 5 1606 1606 5 1606 2467 5 1606 2793 5 1606 1606 6 1606 1606 6 1606"
Q1,CACM-1378,"pseudo-random numbers (algorithm 266 [g5]) cacm september, 1966 hill, i. d. pike, m. c. ca660909i jb march 23, 1978 6:46 pm 1378 5 1378 1378 5 1378 1378 5 1378"
Q1,CACM-1190,"pseudo-random numbers (algorithm 266 [g5]) cacm october, 1965 pike, m. c. hill, i. d. ca651005 jb march 6, 1978 6:51 pm 1190 4 1190 1190 5 1190 1190 5 1190 1190 5 1190 1663 5 1190 2195 5 1190 2679 5 1190 456 5 1190 970 6 1190 1175 6 1190 1190 6 1190 1190 6 1190 1190 6 1190 1228 6 1190 1648 6 1190 1969 6 1190 1997 6 1190 308 6 1190 2042 6 1190 3187 6 1190 507 6 1190 716 6 1190 783 6 1190"
Q1,CACM-2100,"ortho (algorithm 127 $f5)) cacm february, 1970 barrodale, i. orthogonalization, approximation 5.13 5.17 5.5 ca700215 jb february 14, 1978 9:45 **am** 2100 5 2100 2100 5 2100 2100 5 2100"
Q1,CACM-0881,"calculation of confluent divided differences (algorithm 167) cacm april, 1963 kahan, w. farkas, i. ca630410 jb march 14, 1978 12:21 pm 881 5 881 881 5 881 881 5 881"
Q1,CACM-1371,"logarithm of gamma function (algorithm 291 [s14]) cacm september, 1966 pike, m. c. hill, i. d. ca660909bjb march 23, 1978 4:24 pm 1371 5 1371 1371 5 1371 1371 5 1371"
Q1,CACM-1574,"normal curve integral (algorithm 304 [s15]) cacm june, 1967 hill, i. d. joyce, s. a. ca670607b jb march 23, 1978 3:27 pm 1574 5 1574 1574 5 1574 1574 5 1574"
Q1,CACM-1575,"incomplete beta ratio (algorithm 179 [s14]) cacm june, 1967 pike, m. c. hill, i. d. ca670607c jb march 23, 1978 3:29 pm 1575 5 1575 1575 5 1575 1575 5 1575"
Q1,CACM-0452,"nesting of for statement **i** (algorithm 137) cacm november, 1962 dahm, d. m. wells, m. ca621109 jb march 17, 1978 6:15 pm 452 5 452 452 5 452 452 5 452"
Q1,CACM-0188,"the department of computer mathematics at moscow state university cacm june, 1960 berezin, i. s. ca600602 jb march 20, 1978 9:56 pm 188 5 188 188 5 188 188 5 188"
Q1,CACM-1580,"error function-large x (algorithm 180 [s15]) cacm june, 1967 hill, i. d. joyce, s. a. ca670607h jb march 23, 1978 3:35 pm 1580 5 1580 1580 5 1580 1580 5 1580 2334 5 1580 1580 6 1580"
Q1,CACM-1583,"normal distribution function (algorithm 226 [s15]) cacm june, 1967 hill, i. d. joyce, s. a. ca670607k jb march 23, 1978 3:39 pm 1583 4 1583 1583 4 1583 1583 4 1583 1583 4 1583 967 5 1583 1126 5 1583 1583 5 1583 1583 5 1583 1583 5 1583 707 5 1583 831 5 1583"
Q1,CACM-0879,"newton interpolation with forward divided differences (algorithm 169) cacm april, 1963 kahan, w. farkas, i. ca630412 jb march 14, 1978 12:18 pm 1524 5 879 879 5 879 879 5 879 879 5 879 879 6 879 1197 6 879 311 6 879"
Q1,CACM-1585,"normal curve integral (algorithm 304 [s15]) cacm june, 1967 hill, i. d. joyce, s. a. ca670607m jb march 23, 1978 3:41 pm 1585 5 1585 1585 5 1585 1585 5 1585 1714 5 1585 1585 6 1585"
Q1,CACM-2381,"average binary search length for dense ordered lists (corrigendum) cacm february, 1972 flores, i. madpis, g. ca720210 jb january 31, 1978 3:40 pm 2381 5 2381 2381 5 2381 2381 5 2381"
Q1,CACM-1581,"complementary error function-large x (algorithm 181 [s15]) cacm june, 1967 hill, i. d. joyce, s. a. ca670607i jb march 23, 1978 3:37 pm 1581 5 1581 1581 5 1581 1581 5 1581 1987 5 1581 2427 5 1581 1561 6 1581 1581 6 1581 1581 6 1581 1636 6 1581 1779 6 1581 1944 6 1581 714 6 1581"
Q1,CACM-2713,"remark on stably updating mean and standard deviation of data (corrigendum) cacm october, 1975 cotton, i. ca751006 jb january 6, 1978 10:38 **am** 2713 5 2713 2713 5 2713 2713 5 2713"
Q1,CACM-0676,"on the computation of a certain type of incompletebeta functions cacm november, 1963 tang, i. c. ca631116 jb march 13, 1978 3:27 pm 676 5 676 676 5 676 676 5 676"
Q1,CACM-3057,"optimal his togram matching **by** monotone gray level transformation this paper investigates the problem of optimal his togram matching using monotone gray level transformation, which always assigns all picture points of a given gray level **i** to another gray level t(i) such that if **i** > j, then t(i) > t(j)."
Q1,CACM-1407,"confidence interval for a ratio (algorithm 289 [g1]) cacm july, 1966 hill, i. d. pike, m. c. ca660707c jb march 23, 1978 7:07 pm 1407 5 1407 1407 5 1407 1407 5 1407"
Q1,CACM-1579,"real error function, erf(x) (algorithm 123 [s15]) cacm june, 1967 hill, i. d. joyce, s. a. ca670607g jb march 23, 1978 3:34 pm 1579 5 1579 1579 5 1579 1579 5 1579"
